Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Temperature,Pressure,,,,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
2017,1,1,0,30,0,0,-9,0.14,2.2,-2,810,N/A,,,NSRDB,489135,-,-,-,39.73,-104.82,-7,1644,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
2017,1,1,1,30,0,0,-10,0.14,2.3,-2,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,2,30,0,0,-10,0.14,2.2,-2,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,3,30,0,0,-10,0.14,2.2,-3,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,30,0,0,-10,0.14,2.2,-3,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,5,30,0,0,-11,0.14,2.4,-3,810,N/A,,DHI,DNI,DNI/DHI,higher means more direct sun rather than diffuse,,,,,,,,,,,,,,,,,
2017,1,1,6,30,0,0,-11,0.14,2.9,-4,810,N/A,,60.02294521,263.0812785,4.383011824,,,,,,,,,,,,,,,,,,
2017,1,1,7,30,0,0,-11,0.14,3.9,-2,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,8,30,37,702,-10,0.14,4.7,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,9,30,49,870,-10,0.14,5.2,2,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,10,30,55,944,-10,0.14,5.6,5,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,11,30,57,973,-10,0.14,5.5,6,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,12,30,57,971,-9,0.14,5.1,7,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,13,30,89,715,-9,0.14,4.2,6,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,14,30,69,678,-7,0.14,2.3,4,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,15,30,48,550,-6,0.14,0.6,1,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,16,30,19,0,-7,0.14,0.5,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,17,30,0,0,-7,0.14,1,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,18,30,0,0,-7,0.14,1.5,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,19,30,0,0,-7,0.14,1.8,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,20,30,0,0,-8,0.14,2,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,21,30,0,0,-8,0.14,1.9,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,22,30,0,0,-8,0.14,1.9,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,23,30,0,0,-8,0.14,2,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,0,30,0,0,-8,0.14,2.2,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,1,30,0,0,-8,0.14,2.3,0,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,2,30,0,0,-8,0.14,2.2,-1,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,3,30,0,0,-9,0.14,2.2,-1,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,4,30,0,0,-9,0.14,2.3,-2,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,5,30,0,0,-10,0.14,2.6,-2,810,N/A,,,,,,,,,,,,,,,,,,,,,,
2017,1,2,6,30,0,0,-10,0.14,3.3,-2,810,N/A,,,,,,,,,,,,,,,,,,,,,,
