Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Temperature,Pressure,,,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
2019,1,1,0,30,0,0,-5.8,0.14,0.8,3,1006,N/A,,NSRDB,112304,-,-,-,36.85,-120.46,-8,40,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
2019,1,1,1,30,0,0,-6.4,0.14,0.6,2.9,1006,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,-7,0.14,0.6,2.4,1007,N/A,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,-7.3,0.14,1,1.6,1007,N/A,,DHI,DNI,DNI/DHI,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,-7.7,0.14,1.1,1.2,1008,N/A,,53.37808219,285.8663242,5.355500094,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,-8.3,0.14,1,1.1,1009,N/A,,,,over 6000?,sum,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,-8.6,0.14,0.9,1.3,1010,N/A,,5742,,0,240,,,,,,,,,,,,,,,,
2019,1,1,7,30,8,31,-8.5,0.14,0.7,2.8,1011,N/A,,6410,,1,,,,,,,,,,,,,,,,,
2019,1,1,8,30,46,516,-5.5,0.14,1.1,5.4,1012,N/A,,5931,,0,,,,,,,,,,,,,,,,,
2019,1,1,9,30,57,862,-7.8,0.14,1.6,8,1012,N/A,,5153,,0,,,,,,,,,,,,,,,,,
2019,1,1,10,30,71,911,-8.9,0.14,1.5,10,1012,N/A,,179,,0,,,,,,,,,,,,,,,,,
2019,1,1,11,30,74,928,-9.2,0.14,1.5,11.2,1011,N/A,,175,,0,,,,,,,,,,,,,,,,,
2019,1,1,12,30,88,877,-9,0.14,1.7,11.8,1010,N/A,,1909,,0,,,,,,,,,,,,,,,,,
2019,1,1,13,30,100,761,-8.6,0.14,2.2,12,1010,N/A,,1966,,0,,,,,,,,,,,,,,,,,
2019,1,1,14,30,114,407,-8,0.14,2.1,11.3,1010,N/A,,412,,0,,,,,,,,,,,,,,,,,
2019,1,1,15,30,80,247,-5.5,0.14,1.9,10.7,1010,N/A,,3743,,0,,,,,,,,,,,,,,,,,
2019,1,1,16,30,24,202,-2.4,0.14,1.2,5.8,1011,N/A,,1207,,0,,,,,,,,,,,,,,,,,
2019,1,1,17,30,0,0,-4,0.14,1.3,4.9,1011,N/A,,3876,,0,,,,,,,,,,,,,,,,,
2019,1,1,18,30,0,0,-4.2,0.14,1.2,4.8,1012,N/A,,3701,,0,,,,,,,,,,,,,,,,,
2019,1,1,19,30,0,0,-4.4,0.14,1.2,4.7,1012,N/A,,88,,0,,,,,,,,,,,,,,,,,
2019,1,1,20,30,0,0,-4.7,0.14,1.2,4.7,1012,N/A,,8,,0,,,,,,,,,,,,,,,,,
2019,1,1,21,30,0,0,-5.1,0.14,1.1,4.7,1011,N/A,,646,,0,,,,,,,,,,,,,,,,,
2019,1,1,22,30,0,0,-5.4,0.14,1,4.6,1011,N/A,,1033,,0,,,,,,,,,,,,,,,,,
2019,1,1,23,30,0,0,-5.6,0.14,0.9,4.3,1011,N/A,,3222,,0,,,,,,,,,,,,,,,,,
2019,1,2,0,30,0,0,-5.8,0.14,0.9,3.9,1011,N/A,,4559,,0,,,,,,,,,,,,,,,,,
2019,1,2,1,30,0,0,-5.9,0.14,0.9,3.4,1011,N/A,,2261,,0,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,0,-6.1,0.14,1,2.9,1011,N/A,,6379,,1,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0,0,-6.3,0.14,1,2.5,1011,N/A,,5388,,0,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,0,-6.5,0.14,1,2.3,1011,N/A,,6474,,1,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,0,-6.7,0.14,0.8,2.3,1011,N/A,,6543,,1,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,0,-6.8,0.14,0.6,2.5,1012,N/A,,6184,,1,,,,,,,,,,,,,,,,,
2019,1,2,7,30,8,20,-6.2,0.14,0.5,3.7,1012,N/A,,4045,,0,,,,,,,,,,,,,,,,,
2019,1,2,8,30,48,492,-3.6,0.14,0.6,5.9,1013,N/A,,5361,,0,,,,,,,,,,,,,,,,,
2019,1,2,9,30,62,792,-4.6,0.14,0.8,8.3,1013,N/A,,1920,,0,,,,,,,,,,,,,,,,,
2019,1,2,10,30,73,856,-4.5,0.14,0.9,10.4,1012,N/A,,1352,,0,,,,,,,,,,,,,,,,,
2019,1,2,11,30,77,889,-4.3,0.14,1.1,11.7,1011,N/A,,4835,,0,,,,,,,,,,,,,,,,,
2019,1,2,12,30,81,880,-3.6,0.14,1,12.3,1011,N/A,,4192,,0,,,,,,,,,,,,,,,,,
2019,1,2,13,30,82,836,-3.1,0.14,0.7,12.5,1010,N/A,,8141,,1,,,,,,,,,,,,,,,,,
2019,1,2,14,30,74,768,-2.7,0.14,0.4,12,1010,N/A,,297,,0,,,,,,,,,,,,,,,,,
2019,1,2,15,30,58,620,-1.5,0.14,0.2,11.6,1010,N/A,,7563,,1,,,,,,,,,,,,,,,,,
2019,1,2,16,30,28,257,-0.7,0.14,0.3,8.7,1011,N/A,,3987,,0,,,,,,,,,,,,,,,,,
2019,1,2,17,30,0,0,-2,0.14,0.3,7.8,1011,N/A,,6985,,1,,,,,,,,,,,,,,,,,
