Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Temperature,Pressure,,,,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
2019,1,1,0,30,0,0,0.8,0.1,1.2,1,1000,N/A,,,NSRDB,1331746,-,-,-,42.37,-71.3,-5,64,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
2019,1,1,1,30,0,0,1.1,0.1,1.4,1.6,997,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,1.8,0.1,1.3,2.2,994,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,2.4,0.1,1.1,2.6,991,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,3.1,0.1,1.1,3.1,989,N/A,,DHI,DNI,DNI/DHI,higher means more direct sun rather than diffuse,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,3.6,0.1,1.1,3.7,989,N/A,,64.66514442,196.4627241,3.038154879,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,4.2,0.1,1.1,4.3,989,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,14,104,5,0.1,1.1,5.3,989,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,62,156,6,0.1,1.1,6.3,990,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,79,95,6.8,0.1,1.1,7.2,991,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,93,596,7,0.1,1.3,7.5,992,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,59,879,5.3,0.1,1.4,7.2,993,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,62,858,3.7,0.1,1.4,6.6,995,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,54,841,2.7,0.1,1.4,5.8,997,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,48,746,1.9,0.1,1.3,4.7,999,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,34,527,1.3,0.1,1.2,3.3,1001,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,0,0,0.7,0.1,1.2,2.1,1003,N/A,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,0,0,0.1,0.1,1.1,1.3,1005,N/A,,,,,,,,,,,,,,,,,,,,,,
